City,Average Weekly Workplace Earnings 2016  (£),Claimant Count Sep 2017  (%),CO2 Emissions per Capita 2014  (tons),Commuting by Bicycle 2011  (%),"Commuting by Bus, Train or Metro 2011  (%)",Commuting by Other Methods 2011  (%),Commuting by Private Vehicle 2011  (%),Commuting on Foot 2011  (%),Employment Rate 2015  (%),Households in Social Rentership 2011  (%),Households Renting Privately or Living Rent-Free 2011  (%),Households that Own or Part-Own Their Home 2011  (%),Mean house price  2016  (£),Population 2015,Total Jobs 2015
Worthing,436.9,1.33,3.8750834,5.028551105,9.42680445,0.407026141,61.13888285,13.58400348,80.5,9.980018706,20.21724343,69.80273786,279100.3395,107700,44700
Southend,405,1.55,3.726483,2.073493062,19.53880228,0.427057585,59.51090282,9.201928489,77.6,9.049501666,16.94198311,74.00851523,282946.451,353000,105300
Crawley,634.2,1.23,5.361852,2.495222298,18.58435799,0.385821945,63.6263657,8.269931129,84.9,23.85845016,15.72073864,60.4208112,283706.839,110900,84600
Slough,587.6,1.35,5.2424475,2.326894502,15.06835067,0.490341753,65.55274889,9.166419019,74.3,20.63585865,25.31024702,54.05389434,290548.7186,145700,78500
Basildon,518.2,1.73,4.6503346,1.70108185,20.16480736,0.398766354,61.6401224,8.286147989,77.1,21.96134495,11.10439062,66.93426443,301386.1749,181700,82300
Bournemouth,480.5,1.18,4.2579756,4.292958969,7.363748949,0.495828173,67.00143731,9.538251539,76.1,10.94645828,20.97802804,68.07551368,309274.9806,482800,207900
Aldershot,566,0.78,5.5974786,2.266409869,9.270730311,0.625683202,68.9073968,7.776794545,83.8,12.90027186,15.88210044,71.2176277,360379.7641,183400,102100
Brighton,471.2,1.38,3.7873819,4.56912501,21.58660354,0.517794762,43.84645848,17.45311179,73.9,14.61982397,27.55274517,57.82743086,367902.787,348700,153700
Reading,634.4,1.08,4.9316691,3.222125052,15.26710455,0.384546204,59.17980016,10.88079688,77.4,11.75152799,19.74983969,68.49863232,375229.9985,322100,178400
Cambridge,602.8,0.75,4.7791643,29.03410334,11.25561519,0.395376617,33.96032774,14.55827178,76.5,23.59678041,27.81607227,48.58714732,475815.5478,130900,100200
